Date,C20_PX_LAST,C20_PX_HIGH,C20_PX_LOW,C20_PX_BID,C20_PX_ASK,C20_PX_MID,C40_PX_LAST,C40_PX_HIGH,C40_PX_LOW,C40_PX_BID,C40_PX_ASK,C40_PX_MID,Futures_PX_LAST,Futures_PX_HIGH,Futures_PX_LOW,Futures_PX_BID,Futures_PX_ASK,Futures_PX_MID,Spread_Close,Spread_Widest,Spread_Narrowest,Futures_Last,Futures_High,Futures_Low,PnL_Close,PnL_Close_Pct,PnL_Best_Exit,PnL_Best_Exit_Pct,PnL_Worst_Intraday,PnL_Worst_Intraday_Pct
2026-01-16,2.38,2.45,2.27,2.0,2.75,2.38,0.75,0.77,0.72,0.35,4.05,2.2,19.22,19.38,19.0,19.2,19.25,19.225,1.63,1.7300000000000002,1.5,19.22,19.38,19.0,0.17999999999999994,12.4,0.28000000000000025,19.3,0.050000000000000044,3.4
2026-01-20,2.99,3.19,2.59,2.71,3.25,2.98,0.87,0.92,0.81,0.57,1.01,0.79,20.45,20.7,19.45,20.4,20.5,20.45,2.12,2.38,1.67,20.45,20.7,19.45,0.6700000000000002,46.2,0.9299999999999999,64.1,0.21999999999999997,15.2
2026-01-21,2.32,2.99,2.23,2.07,2.47,2.27,0.67,0.84,0.67,0.46,0.85,0.66,19.27,20.6,19.1,19.25,19.3,19.275,1.65,2.3200000000000003,1.3900000000000001,19.27,20.6,19.1,0.19999999999999996,13.8,0.8700000000000003,60.0,-0.05999999999999983,-4.1
2026-01-22,2.14,2.27,2.1,2.0,2.31,2.16,0.64,0.71,0.63,0.48,0.81,0.65,18.95,19.3,18.95,18.95,19.05,19.0,1.5,1.6400000000000001,1.3900000000000001,18.95,19.3,18.95,0.050000000000000044,3.4,0.19000000000000017,13.1,-0.05999999999999983,-4.1
2026-01-23,2.29,2.31,2.05,2.28,2.38,2.33,0.75,0.75,0.63,0.71,0.77,0.74,19.29,19.35,18.85,19.25,19.3,19.275,1.54,1.6800000000000002,1.2999999999999998,19.29,19.35,18.85,0.09000000000000008,6.2,0.2300000000000002,15.9,-0.15000000000000013,-10.3
2026-01-26,2.24,2.29,2.1,2.2,2.3,2.25,0.65,0.7,0.64,0.65,0.71,0.68,19.28,19.8,18.98,19.2,19.3,19.25,1.5900000000000003,1.65,1.4000000000000001,19.28,19.8,18.98,0.14000000000000035,9.7,0.19999999999999996,13.8,-0.04999999999999982,-3.4
2026-01-27,2.35,2.35,2.12,2.1,2.36,2.23,0.67,0.68,0.62,0.66,0.71,0.69,19.47,19.55,19.02,19.45,19.5,19.475,1.6800000000000002,1.73,1.44,19.47,19.55,19.02,0.2300000000000002,15.9,0.28,19.3,-0.010000000000000009,-0.7
2026-01-28,2.34,2.47,2.2,2.23,2.36,2.3,0.67,0.8,0.65,0.62,0.71,0.67,19.43,19.72,19.22,19.4,19.45,19.425,1.67,1.8200000000000003,1.4000000000000001,19.43,19.72,19.22,0.21999999999999997,15.2,0.37000000000000033,25.5,-0.04999999999999982,-3.4
2026-01-29,2.37,2.9,2.29,2.32,2.47,2.4,0.7,0.86,0.66,0.49,0.74,0.62,19.64,20.5,19.29,19.6,19.7,19.65,1.6700000000000002,2.2399999999999998,1.4300000000000002,19.64,20.5,19.29,0.2200000000000002,15.2,0.7899999999999998,54.5,-0.019999999999999796,-1.4
2026-01-30,2.59,2.63,2.25,2.5,2.73,2.62,0.8,0.8,0.65,0.35,1.01,0.68,19.95,20.4,19.35,19.9,19.95,19.925,1.7899999999999998,1.98,1.45,19.95,20.4,19.35,0.33999999999999986,23.4,0.53,36.6,0.0,0.0
2026-02-02,2.0,2.51,2.0,1.78,2.31,2.05,0.58,0.67,0.55,0.39,0.65,0.52,19.06,21.28,18.95,19.05,19.1,19.075,1.42,1.9599999999999997,1.33,19.06,21.28,18.95,-0.030000000000000027,-2.1,0.5099999999999998,35.2,-0.11999999999999988,-8.3
2026-02-03,2.3,2.76,2.03,2.25,2.5,2.38,0.62,0.8,0.57,0.42,0.79,0.61,19.55,20.25,19.05,19.5,19.6,19.55,1.6799999999999997,2.19,1.2299999999999998,19.55,20.25,19.05,0.22999999999999976,15.9,0.74,51.0,-0.2200000000000002,-15.2
2026-02-04,2.4,2.84,2.2,2.3,2.54,2.42,0.66,0.84,0.61,0.46,0.79,0.63,19.7,20.47,19.35,19.65,19.75,19.7,1.7399999999999998,2.23,1.3600000000000003,19.7,20.47,19.35,0.2899999999999998,20.0,0.78,53.8,-0.08999999999999964,-6.2
2026-02-05,3.12,3.25,2.64,3.0,3.3,3.15,0.86,0.95,0.75,0.65,1.01,0.83,21.07,21.1,19.62,21.05,21.1,21.075,2.2600000000000002,2.5,1.6900000000000002,21.07,21.1,19.62,0.8100000000000003,55.9,1.05,72.4,0.2400000000000002,16.6
2026-02-06,2.24,2.72,2.2,2.1,2.43,2.27,0.6,0.69,0.58,0.4,0.76,0.58,19.7,21.57,19.6,19.65,19.7,19.675,1.6400000000000001,2.14,1.5100000000000002,19.7,21.57,19.6,0.19000000000000017,13.1,0.6900000000000002,47.6,0.060000000000000275,4.1
2026-02-09,1.9,2.3,1.89,1.94,2.07,2.01,0.5,0.57,0.49,0.35,0.64,0.5,19.2,19.8,18.77,19.2,19.25,19.225,1.4,1.8099999999999998,1.3199999999999998,19.2,19.8,18.77,-0.050000000000000044,-3.4,0.3599999999999999,24.8,-0.13000000000000012,-9.0
2026-02-10,2.06,2.07,1.85,1.99,2.1,2.05,0.52,0.52,0.47,0.47,0.58,0.52,19.5,19.6,19.1,19.5,19.55,19.525,1.54,1.5999999999999999,1.33,19.5,19.6,19.1,0.09000000000000008,6.2,0.1499999999999999,10.3,-0.11999999999999988,-8.3
2026-02-11,1.97,2.23,1.83,1.85,2.2,2.03,0.49,0.56,0.47,0.35,0.66,0.51,19.48,19.9,19.1,19.45,19.5,19.475,1.48,1.76,1.27,19.48,19.9,19.1,0.030000000000000027,2.1,0.31000000000000005,21.4,-0.17999999999999994,-12.4
2026-02-12,2.7,2.79,1.85,2.58,2.8,2.69,0.67,0.67,0.45,0.42,0.9,0.66,20.45,20.67,19.2,20.45,20.55,20.5,2.0300000000000002,2.34,1.1800000000000002,20.45,20.67,19.2,0.5800000000000003,40.0,0.8899999999999999,61.4,-0.2699999999999998,-18.6
2026-02-13,2.86,3.05,2.22,2.63,3.15,2.89,0.72,0.75,0.57,0.36,1.01,0.69,20.91,21.22,19.85,20.9,20.95,20.925,2.1399999999999997,2.48,1.4700000000000002,20.91,21.22,19.85,0.6899999999999997,47.6,1.03,71.0,0.02000000000000024,1.4
2026-02-17,2.29,3.2,2.23,2.25,2.39,2.32,0.51,0.93,0.49,0.43,0.59,0.51,20.18,21.65,20.05,20.15,20.2,20.175,1.78,2.71,1.2999999999999998,20.18,21.65,20.05,0.33000000000000007,22.8,1.26,86.9,-0.15000000000000013,-10.3
2026-02-18,2.27,2.45,1.99,2.12,2.33,2.23,0.55,0.59,0.45,0.35,0.62,0.49,20.15,20.48,19.7,20.1,20.15,20.125,1.72,2.0,1.4,20.15,20.48,19.7,0.27,18.6,0.55,37.9,-0.050000000000000044,-3.4
2026-02-19,2.56,2.83,2.45,2.35,2.88,2.62,0.6,0.67,0.58,0.39,0.82,0.61,20.65,21.13,19.95,20.6,20.7,20.65,1.96,2.25,1.7800000000000002,20.65,21.13,19.95,0.51,35.2,0.8,55.2,0.3300000000000003,22.8
2026-02-20,2.19,2.86,2.14,1.91,2.28,2.09,0.52,0.66,0.48,0.41,0.63,0.52,20.15,21.25,19.98,20.1,20.15,20.125,1.67,2.38,1.48,20.15,21.25,19.98,0.21999999999999997,15.2,0.9299999999999999,64.1,0.030000000000000027,2.1
2026-02-23,2.67,2.79,2.07,2.61,2.85,2.73,0.62,0.65,0.48,0.48,0.69,0.59,21.01,21.25,19.95,21.0,21.05,21.025,2.05,2.31,1.42,21.01,21.25,19.95,0.5999999999999999,41.4,0.8600000000000001,59.3,-0.030000000000000027,-2.1
2026-02-24,2.13,2.84,2.11,2.05,2.26,2.15,0.46,0.63,0.44,0.35,0.63,0.49,20.35,21.3,20.2,20.3,20.35,20.325,1.67,2.4,1.48,20.35,21.3,20.2,0.21999999999999997,15.2,0.95,65.5,0.030000000000000027,2.1
2026-02-25,1.59,2.05,1.58,1.3,1.65,1.48,0.35,0.48,0.35,0.35,1.01,0.68,19.3,20.44,19.3,19.35,19.4,19.375,1.2400000000000002,1.6999999999999997,1.1,19.3,20.44,19.3,-0.20999999999999974,-14.5,0.24999999999999978,17.2,-0.34999999999999987,-24.1
2026-02-26,1.67,2.25,1.5,1.65,1.9,1.78,0.34,0.51,0.34,0.3,0.44,0.37,19.98,20.65,19.28,19.95,20.0,19.975,1.3299999999999998,1.91,0.99,19.98,20.65,19.28,-0.1200000000000001,-8.3,0.45999999999999996,31.7,-0.45999999999999996,-31.7
2026-02-27,2.19,2.55,1.8,2.12,2.35,2.24,0.44,0.54,0.36,0.34,0.54,0.44,20.55,21.21,19.85,20.55,20.6,20.575,1.75,2.19,1.26,20.55,21.21,19.85,0.30000000000000004,20.7,0.74,51.0,-0.18999999999999995,-13.1
2026-03-02,2.4,3.6,2.02,2.26,2.63,2.44,0.44,0.73,0.35,0.31,0.69,0.5,21.11,22.8,20.5,21.1,21.15,21.125,1.96,3.25,1.29,21.11,22.8,20.5,0.51,35.2,1.8,124.1,-0.15999999999999992,-11.0
2026-03-03,3.02,5.35,2.41,2.79,3.25,3.02,0.52,1.03,0.39,0.36,0.64,0.5,22.4,24.9,21.05,22.4,22.45,22.425,2.5,4.96,1.3800000000000001,22.4,24.9,21.05,1.05,72.4,3.51,242.1,-0.06999999999999984,-4.8
2026-03-04,2.3,4.0,1.95,2.12,2.51,2.32,0.29,0.51,0.28,0.27,0.4,0.34,21.34,23.35,20.7,21.3,21.35,21.325,2.01,3.7199999999999998,1.44,21.34,23.35,20.7,0.5599999999999998,38.6,2.2699999999999996,156.6,-0.010000000000000009,-0.7
2026-03-05,3.65,4.65,2.44,3.35,3.65,3.5,0.49,0.67,0.35,0.42,0.71,0.56,22.86,24.27,20.75,22.85,22.9,22.875,3.16,4.300000000000001,1.77,22.86,24.27,20.75,1.7100000000000002,117.9,2.8500000000000005,196.6,0.32000000000000006,22.1
2026-03-06,7.3,7.3,3.37,6.2,7.4,6.8,1.42,1.6,0.7,0.87,2.2,1.54,26.4,27.1,22.39,26.35,26.4,26.375,5.88,6.6,1.77,26.4,27.1,22.39,4.43,305.5,5.1499999999999995,355.2,0.32000000000000006,22.1
2026-03-09,4.25,10.07,3.55,4.0,4.45,4.22,0.48,2.75,0.37,0.3,0.74,0.52,23.89,30.19,23.12,23.85,23.95,23.9,3.77,9.700000000000001,0.7999999999999998,23.89,30.19,23.12,2.3200000000000003,160.0,8.250000000000002,569.0,-0.6500000000000001,-44.8
2026-03-10,5.03,5.5,2.66,4.85,5.2,5.03,0.45,0.54,0.24,0.31,0.74,0.53,24.75,25.25,22.1,24.7,24.75,24.725,4.58,5.26,2.12,24.75,25.25,22.1,3.13,215.9,3.8099999999999996,262.8,0.6700000000000002,46.2
2026-03-11,4.02,5.25,3.9,4.05,4.45,4.25,0.28,0.43,0.26,0.12,0.43,0.28,24.0,25.35,23.53,24.0,24.05,24.025,3.7399999999999993,4.99,3.4699999999999998,24.0,25.35,23.53,2.289999999999999,157.9,3.54,244.1,2.0199999999999996,139.3
2026-03-12,5.81,6.1,4.8,5.45,6.35,5.9,0.39,0.55,0.28,0.25,0.6,0.43,25.59,26.1,24.1,25.55,25.6,25.575,5.42,5.819999999999999,4.25,25.59,26.1,24.1,3.9699999999999998,273.8,4.369999999999999,301.4,2.8,193.1
2026-03-13,6.45,6.85,4.35,6.05,7.0,6.53,0.28,0.38,0.2,0.22,0.43,0.33,26.59,26.85,24.2,26.55,26.6,26.575,6.17,6.6499999999999995,3.9699999999999998,26.59,26.85,24.2,4.72,325.5,5.199999999999999,358.6,2.5199999999999996,173.8
2026-03-16,3.39,5.55,3.25,3.4,4.15,3.78,0.04,0.31,0.03,0.0,0.17,0.17,23.7,27.45,23.05,23.7,23.75,23.725,3.35,5.52,2.94,23.7,27.45,23.05,1.9000000000000001,131.0,4.069999999999999,280.7,1.49,102.8
2026-03-17,2.4,3.9,1.9,1.02,3.65,2.34,0.02,0.04,0.01,0.0,0.04,0.04,22.45,24.34,21.8,22.3,22.45,22.375,2.38,3.89,1.8599999999999999,22.45,24.34,21.8,0.9299999999999999,64.1,2.4400000000000004,168.3,0.4099999999999999,28.3
2026-03-18,,,,,,,,,,,,,22.15,22.35,22.05,22.15,22.2,22.175,,,,22.15,22.35,22.05,,,,,,
